 ( -4.0999225193061815     , 3.51417240467631127E-018) ( -1.2289892359311556     , 1.54452713224795125E-016) (  2.2042898270370923     , 1.87550731220378596E-017)
 (  5.5450752440989337     , 3.21861059248921513E-018) (  4.0629894073146522     ,-9.63395333714814400E-017) (-0.96250013875852747     , 6.33948648526633442E-018)
 (-0.57747757046394999     ,-6.98547106172122478E-017) ( 0.97404169158248100     , 6.49891957165470801E-017) (-0.18958217942413971     , 1.53602390619214014E-018)
 (  2.4544784673199302     , 1.87227595354667846E-016) (  2.5206099104944881     ,-2.68235201909116580E-016) ( -2.6793451738057166     ,-4.37560448028031625E-017)
 ( -8.4152548976392580     , 5.54162755965227574E-017) (  12.797353787296217     ,-6.45280996243618730E-017) ( -2.0998431243689391     , 2.16962225178219257E-016)
 ( 0.78551694147277962     , 3.49666052481795966E-017) (  1.3118143675582248     , 3.90573920124462074E-017) ( 0.54159108022425961     ,-4.87655118916074103E-017)
 ( -4.9161416159016937     , 2.42133593117002869E-017) (  3.2066134313781061     , 4.62773096852208461E-017) ( -4.6612614291728862     ,-2.73336653413555009E-017)
 ( -3.6421221885457107     , 1.62492372269826709E-017) ( -6.6376470849274032     ,-1.97262968787958540E-017) (  3.4617507855387282     , 8.34498098305745399E-018)
 ( -1.6770593266413159     , 1.18396552243142886E-016) ( -1.0770871529937667     ,-2.93853123631951267E-016) ( -1.2853330882520793     , 1.63187238693347559E-018)
 (  2.4786046763602294     , 9.40249261790932108E-017) (-0.64214597503104187     , 2.65365657833591901E-017) ( -1.9517247255612342     ,-7.82204259279572006E-017)
 (  7.9440178456022386     , 6.42625921363335667E-017) (  2.2200067110536588     , 8.08393610133194700E-017) ( -7.7174751901192895     ,-1.60642237817420495E-017)
 ( -1.7339195765555189     , 5.32384038840786215E-017) (  1.7251481335731551     , 6.73542935661407715E-018) ( 9.89301272553205768E-002, 1.31653559760184674E-017)
 (-4.63644925438499445E-002,-5.06273225512262706E-019) (-0.12983324736601820     ,-4.36390352925016550E-017) (-8.10405620695731077E-002,-2.03295553498455677E-018)
 ( -3.9169799563312906     ,-5.77004823643931269E-017) ( -7.1311819268628094     ,-8.64472660021431367E-017) ( -1.8002402129692356     , 2.57135233395673405E-017)
 (-0.42207344012489761     ,-7.65933664545436218E-017) ( 0.40901023692956351     , 9.27107990885239650E-017) (-0.64106860617573580     ,-1.19591645555692294E-016)
 (  2.7706590670311653     , 7.07242495647351412E-017) ( 6.03382103425625926E-003, 2.15466975417024815E-017) ( -2.8499248481116606     ,-1.65887742276369009E-017)
 ( -5.2412084449529193     , 1.88103125227284108E-016) (  6.4249110826260054     ,-6.98316203052812294E-017) ( -8.5053020602412150     ,-1.39629309979046438E-017)
 (  7.0879063333013068     , 7.26267528131549381E-018) (  6.7468395314531211     , 4.13929492375471008E-018) ( -3.3564442246247599     ,-6.59509099909335695E-019)
 (-0.70407774787860422     ,-2.69727241189442150E-017) ( 0.65651607670130441     ,-2.28865979179342706E-017) (-0.74971145709363585     ,-7.53819061638306956E-017)
 ( -6.0894743484071041     ,-8.08464355246801008E-017) (  3.7948428149730922     , 8.26599059764618409E-018) ( -3.8420908290042277     , 9.22081308403207327E-017)
