 (  6.8619274030391679     , 9.68029878734743574E-018)
 ( -2.4142885337591800     ,-1.23475703213462142E-018)
 ( -5.0154965296086527     , 1.29702392422352084E-017)
 ( -1.6647867272023011     , 7.10112599590079910E-017)
 ( -1.7792117789256676     ,-4.75518733837972760E-017)
 (  8.8203588206359207     ,-4.62730350506714449E-017)
 (  5.8127634440571514     ,-2.83942584073191938E-017)
 (  14.570756218619684     , 4.79359810004990591E-017)
 (  8.4385441456746069     ,-3.50300418801077675E-017)
 ( -6.9330208307164316     ,-3.22573116261617372E-017)
 ( -5.9445357390219140     ,-3.52292256718434470E-017)
 ( -4.4520476752235369     , 6.06566055413816194E-020)
 (  5.5902468362067355     , 3.29739888888454351E-017)
 (  9.5419581938837208     ,-1.41683620301259157E-016)
 (  22.475800010168687     , 4.47354415717590101E-018)
 ( -11.864406703310053     , 5.91528930090003954E-018)
 (  19.652858150425466     ,-1.08233039157666324E-016)
 ( -8.3683864150405114     , 4.48353374076657431E-018)
 (  4.2833661085698127     ,-4.43543739950807827E-017)
 ( -11.350565780484162     ,-2.56239329532044712E-017)
