 ( -8.8802032196917295     , 1.00067509741084163E-017) (-0.78522400349861310     , 4.13163064292478772E-016) (-0.94310976007035485     , 1.28949787952260829E-016)
 (  1.5321799588572305     ,-1.48773915049294418E-017) (  11.314569496577239     , 8.50316170247613107E-018) (  6.9569689936239092     ,-2.37396318358722187E-017)
 (  4.3697977282970601     , 3.68980821882227625E-017) ( -3.0055293409334944     , 1.62576205519271902E-017) ( -1.4584721776462846     , 4.16897172879882800E-018)
 (  8.3492532903388099     , 3.68038764794684884E-017) (  1.6198739395153658     , 1.35445557821399557E-016) ( -4.6569060734444019     , 2.60870231248151712E-017)
 (  2.4047450680731650     ,-3.65764092451340007E-016) ( -9.7479167885674549     ,-7.29719229614241489E-017) (  5.0145465479850335     , 4.88482523144810803E-017)
 (  3.2155839469948755     ,-5.64511673019527937E-017) ( -3.7645315328372426     , 4.98764138551857652E-017) (  4.0693275160797180     , 3.57683011230587256E-017)
 ( -14.927063407914343     ,-2.74031104160696437E-017) (  12.931833355502011     , 2.54926060466018929E-017) (  3.6472130312701081     , 3.03684687056930103E-017)
 (  3.3158326805396934     ,-1.73658319097078167E-016) (  3.8780838515144431     , 5.63315428619155966E-016) (  1.7172369085432408     , 1.02552058550145032E-017)
 ( 0.99076224609661789     , 5.81188153950558735E-016) ( -15.323987273858894     ,-6.00591042637076388E-016) (  12.569543399417521     ,-3.82148410890514456E-017)
 (  7.9103165410546730     , 2.49526143986976417E-017) ( -7.6721298183068622     , 1.03080138169622869E-017) ( 0.96120486627772650     , 8.93638803339713917E-017)
 ( -9.9697535891108817     ,-2.53891761500764976E-016) (-0.90013264622940792     , 1.91362321172043329E-016) ( -1.1088641578361056     ,-1.45581816481866567E-016)
 ( -5.2236374692184411     ,-1.35555115909174444E-018) (  4.6051475610711181     , 3.44302488206315209E-018) (  3.3876560430743314     ,-1.24756489354769103E-017)
 (  5.0062742120266863     , 3.56538790590721210E-019) (  4.2353602377766597     , 1.04618664494767635E-018) ( -6.1390543780278009     ,-1.58193118357204813E-017)
 ( -7.8960711838321807     , 2.74209189732397952E-018) ( -4.7029557243891391     ,-7.54712054996476987E-017) (  9.9897310889652093     , 4.95312040134268116E-018)
 (  3.8148545290110780     ,-3.49319390699184391E-017) ( -10.891963595467070     , 1.20691371015840520E-017) (  4.0640286911835526     , 6.61587513404392319E-017)
 ( 0.52056158049838719     , 6.78365591348033048E-017) (  8.4440964842185835     , 2.91549243620844956E-017) ( -7.0261265111211868     , 5.10302143609825445E-017)
 ( 0.47363042131299871     , 1.51018321154555910E-016) ( -10.475405293937307     ,-3.04533109530519562E-016) (  8.5569702434300972     , 4.65304548284147321E-016)
 (-0.90247771774448993     ,-9.23482877659098405E-018) ( -3.5629800463321097     ,-4.43654425443985783E-017) (  7.6009741304973062     ,-1.10775953034493876E-017)
 (-0.15796651460067129     , 1.24139697145116882E-016) ( -2.6012273648801898     ,-9.86069268482030977E-017) ( -2.5488514955163817     ,-7.38616411808293788E-018)
 (  1.2004664628846620     , 9.21646004596835355E-017) ( -13.614069903014707     ,-5.33866523272398582E-018) ( -14.401933235050398     ,-4.41594023009730796E-018)
