 ( -99.525930907740005     , 1.05225170819917351E-015) ( -20.360468073989018     ,-3.98136420985018270E-016) (  38.069914337567425     ,-1.13351285139723091E-016)
 (  33.869871432773436     ,-3.87323091565292751E-016) (  83.460968937580304     ,-8.60638820230351510E-018) (  37.561770071719934     ,-1.05610267474789052E-017)
 (  14.450261930904469     ,-5.82983442115106708E-016) ( -8.2777208273206675     ,-3.67863714301075497E-016) ( -6.0538454423983206     ,-2.48137431107727500E-016)
 (  39.507729411124181     , 2.51182161298357446E-016) (  12.519790181841399     , 4.74440146302469848E-016) ( -27.135527433150859     , 4.45330081676260439E-017)
 ( -26.814441404549346     ,-1.56776765807748598E-016) ( -24.493126103526112     , 1.49397490998961958E-016) (  12.047483167233173     ,-7.38246446546544119E-016)
 (  12.515229378623619     ,-2.75967668204086650E-015) ( -18.150334665053009     ,-1.16904496761042244E-015) (  17.404288704199583     , 1.06876051583296784E-016)
 ( -94.833226756189532     , 7.62128260223674744E-020) (  84.883871895140217     ,-1.29402796303638126E-015) ( 0.25934522201193033     , 2.04339884151904322E-016)
 (  4.4813586495607325     , 7.67533448030508506E-016) ( -2.5267934166608779     , 1.53321298516328610E-016) (  11.682179853062092     ,-2.77473222352850040E-016)
 (  34.255476263792204     , 8.23370384472340639E-017) ( -137.79484883577743     ,-8.61928272108294619E-017) (  121.88881279794953     , 3.34917017115134211E-016)
 (  61.315468840437887     ,-1.87782266208961654E-015) ( -48.096953548700789     , 8.90104495101412001E-018) ( 0.86499439443262749     ,-9.34691772689517803E-017)
 ( 0.90751182659061413     ,-7.09542895622983928E-016) (  9.1668346270111556     , 2.78480931365564396E-016) ( -51.132464325395134     ,-5.95998758667842452E-016)
 ( -28.395333510219245     , 1.92953422138451424E-016) (  25.797146487735397     ,-3.24492871473712176E-016) (  15.797351507851070     , 6.59102581908024360E-018)
 (  14.023312470632646     , 1.52005972986319922E-018) (  10.193744990122447     ,-3.25845855988869085E-017) ( -18.230627806471585     ,-5.70363879732600766E-018)
 ( -43.209114080456516     ,-6.17988342745355574E-017) ( -48.157434041513831     , 1.53067594738901368E-016) (  61.082544943766273     , 4.99806018588498634E-016)
 ( -46.148268156552092     ,-7.30942179247139554E-016) (  26.869413754865541     ,-5.26804900486059710E-016) (  1.8916768106080903     ,-5.92597392245725756E-016)
 (  15.393789285062601     , 3.65308972925023121E-016) (  27.264736927709244     ,-3.13628610167825803E-016) ( -38.926225801745268     , 1.54443391087247845E-016)
 ( -21.114850645368008     ,-1.20499489866015189E-015) (  24.648177797896977     ,-9.49346579374504850E-016) ( -35.222565885202059     ,-4.44516609166174804E-017)
 (  22.253241243719266     ,-7.47806997184471258E-017) (  10.723530695390457     ,-2.24848791200012643E-017) (  14.503399391415929     , 1.61801216386657637E-017)
 ( -4.3842943838688289     ,-4.38808042881991874E-016) ( -3.8785877658073167     ,-1.46038598564525596E-016) ( -7.1136323326217861     ,-2.62281305825135398E-016)
 (  18.003601495731502     ,-8.92070267237640314E-016) ( -97.043134594994342     ,-3.91725827315222220E-016) ( -121.36211156207878     , 4.22627285082216486E-017)
