 (  1.4400985552318841     ,-9.91848298920081916E-019)
 ( 0.18188702351232713     ,-8.17517758280461266E-018)
 ( 0.70382725645854360     , 4.48342644945508519E-019)
 ( 0.32407707250631718     ,-8.11941405338638537E-019)
 ( 0.61534596609271208     ,-3.20317321165677474E-018)
 ( 0.87045525422062797     , 8.33946696513810684E-019)
 ( 0.27090211832595906     , 3.19964729904298313E-019)
 ( 0.55614285902267147     ,-3.25582260503077656E-019)
 ( 0.27258452333172395     , 9.93104312528534626E-019)
 ( 0.57175902347606111     ,-8.54197702571142836E-019)
 (-0.10735913209078544     ,-4.18847255277846763E-019)
 ( 0.56216340081270666     ,-1.07482472307690290E-018)
 ( 3.92211703723159971E-002,-6.11533607217276411E-019)
 (  1.4962116002208405     ,-4.79460296137192737E-018)
 ( 0.33725062399753480     , 1.58345609169667470E-019)
 ( 0.47349671928690235     ,-4.09681063895909798E-020)
 ( 0.22605321370598733     , 8.91625361060875253E-018)
 ( 0.85622327704740331     ,-1.65350061151338936E-018)
 ( 0.73522875210713312     , 1.28598869748031859E-018)
 ( 0.52598993914195513     ,-1.14076910526876650E-017)
