 (-1.84377776068358201E-002,-6.12725857736474547E-019) (-6.34450646249077460E-003,-3.45002934195626809E-020) (-8.38350956354121275E-003, 2.32268898772118605E-020)
 (-4.02966451197544519E-003,-1.79099422654419207E-021) ( 1.87662535089072298E-003, 3.65112845770556865E-021) ( 7.42433081135248849E-003, 1.20660733320675717E-020)
 (-5.94063719436587053E-004, 9.78247034215166297E-020) ( 4.21861290970794098E-003, 1.16311311818820172E-019) (-1.03772819282581391E-002, 9.80951457922375243E-020)
 (-3.96532952397593424E-002,-2.92636576604486393E-021) (-1.67786187020505795E-002,-2.18225965714157356E-021) ( 9.25485425218776185E-003,-4.82974519865185139E-020)
 (-2.99438950827294534E-002, 1.64927016722578870E-019) (-1.39984125438044234E-002,-1.19894683534632808E-019) ( 7.70434256586843749E-004, 1.12685622119830290E-019)
 (-2.66144827341934388E-004, 4.49329812482868673E-020) ( 6.96063487253228887E-003,-3.49415713988790599E-019) (-9.08048269121683287E-003, 4.23767352080632306E-020)
 (-1.74314355053518041E-002,-6.50572776510268474E-020) (-1.43387003004441047E-002, 1.20696436414918519E-019) (-3.66041089047029408E-004, 1.46732520097456386E-019)
 (-7.87156762842461388E-003,-3.39572311377419269E-020) ( 9.43485423313545832E-003, 1.83500925515840592E-020) (-3.95589093402580125E-003, 1.76519826835865570E-020)
 ( 5.21213481827730984E-003, 6.72845560647140026E-020) ( 6.77281346926389416E-003, 3.15006595926479146E-020) ( 2.93141631850718553E-003,-5.42101086242752217E-020)
 (-1.83406360949119919E-002,-3.86368570011565169E-020) (-5.70666101996358463E-003, 1.50958543100463619E-019) (-4.92237452497560832E-003,-3.65791259831582161E-020)
 (-8.78276258093598980E-003, 4.01574917664109198E-019) ( 5.74697737923596328E-003,-8.47418286294445925E-020) ( 7.24322546018426987E-003, 3.35373838999233710E-020)
 (-7.92078769212227994E-003, 1.22488135078823446E-018) (-1.70227700322274945E-002, 1.07401721123240421E-019) (-1.06744573856043471E-002, 4.87992623081129034E-019)
 (-5.54290387188371633E-003,-1.30217119985512977E-019) (-3.73739031598390673E-004, 1.59109216809272136E-019) (-6.09436787541176375E-003, 2.40741243048404482E-035)
 (-1.69495914745386445E-002,-6.91887965098779643E-019) ( 1.28284840875765842E-003, 2.23370185279799916E-019) ( 6.42550828482181275E-003,-4.73053320907895669E-020)
 (-4.02257751242317621E-003,-6.36739433465246925E-020) (-3.59049239152663515E-003,-7.48024899702517884E-020) ( 6.89384045361601111E-003,-1.95695234969002781E-021)
 (-1.34147238226020662E-002,-4.87742048727522267E-021) (-3.00597180763921557E-003, 5.35244094126926596E-023) ( 4.82046173711544144E-004,-1.75661334713288603E-020)
 (-4.13269739050376502E-003, 2.16271142280053880E-020) ( 5.60262752776296245E-003, 1.35546337909379063E-019) (-8.88197662553607756E-005,-1.56981035201424187E-019)
 (-5.90086603000759477E-003,-5.63951600845394576E-021) (-2.15960632074465482E-002,-5.93692944289825452E-021) (-4.13956521371615024E-003,-7.95929543846393987E-021)
 (-1.51243839322210347E-002,-8.72709336049226124E-019) (-6.39295980790734533E-003, 7.60842604944439572E-019) (-1.48032887620198807E-003,-1.09138863618661770E-019)
 (-2.72981712544531560E-002, 1.01091079297202307E-019) (-1.33347602311630117E-002,-8.90139593075893789E-020) ( 1.23072869544500144E-003,  0.0000000000000000     )
