(-5.635738, 0)
(26.234009, 0)
(-22.749561, 0)
(-36.155472, 0)
(-21.873543, 0)
(26.775330, 0)
(0.323414, 0)
(-29.898670, 0)
(-31.085896, 0)
(35.146156, 0)
(-36.179245, 0)
(19.081551, 0)
(8.635109, 0)
(18.579212, 0)
(31.039635, 0)
(22.267216, 0)
(-23.158386, 0)
(-31.477180, 0)
(-9.027016, 0)
(22.750511, 0)
(22.716122, 0)
(-24.393110, 0)
(19.815159, 0)
(5.796516, 0)
(-20.200802, 0)
(-29.417713, 0)
(-7.116585, 0)
(-17.441740, 0)
(-13.537786, 0)
(0.536953, 0)
(-16.094883, 0)
(20.826473, 0)
(-13.229036, 0)
(1.155556, 0)
(24.670998, 0)
(4.897423, 0)
(-12.069111, 0)
(-15.005585, 0)
(14.998749, 0)
(-3.155006, 0)
(-19.859426, 0)
(18.819508, 0)
(-24.073456, 0)
(28.775681, 0)
(-2.601284, 0)
(-33.033817, 0)
(11.042900, 0)
(14.240330, 0)
(-24.510998, 0)
(-37.984116, 0)
(-3.009159, 0)
(38.205124, 0)
(-22.377226, 0)
(-23.194000, 0)
(4.001640, 0)
(-2.578030, 0)
(-12.611713, 0)
(36.885063, 0)
(19.980228, 0)
(13.850502, 0)

