 (  38.303170577283836     ,  0.0000000000000000     )
 (  15.258528344882123     ,  0.0000000000000000     )
 (  16.085690685807680     ,  0.0000000000000000     )
 (  35.682765963691445     ,  0.0000000000000000     )
 (  30.284262589622426     ,  0.0000000000000000     )
 ( -1.4936703222091889     ,  0.0000000000000000     )
 (  13.072734502358436     ,  0.0000000000000000     )
 (  32.192075643819663     ,  0.0000000000000000     )
 (  24.473412376751021     ,  0.0000000000000000     )
 (  30.845500941038210     ,  0.0000000000000000     )
 (  27.926839028782034     ,  0.0000000000000000     )
 (  22.696458259782396     ,  0.0000000000000000     )
 (  20.323099822382353     ,  0.0000000000000000     )
 (  15.273840393296135     ,  0.0000000000000000     )
 (  29.041154803292141     ,  0.0000000000000000     )
 (  32.021031734322442     ,  0.0000000000000000     )
 (  12.886808021350362     ,  0.0000000000000000     )
 (  6.7672719207020133     ,  0.0000000000000000     )
 (  23.596953753536837     ,  0.0000000000000000     )
 (  19.083485639735898     ,  0.0000000000000000     )
