 ( -1.0423981065584755     ,  0.0000000000000000     ) (  7.2775814048894087     ,  0.0000000000000000     ) (  9.1251308872751586     ,  0.0000000000000000     )
 (  5.3399416608520118     ,  0.0000000000000000     ) (  3.5272574099227931     ,  0.0000000000000000     ) (  4.3125668949116847     ,  0.0000000000000000     )
 ( -4.2597694996803925     ,  0.0000000000000000     ) (  3.6524379336584349     ,  0.0000000000000000     ) (  3.2653086937968796     ,  0.0000000000000000     )
 (  3.3571820684152085     ,  0.0000000000000000     ) (  5.8266340960633070     ,  0.0000000000000000     ) (  2.6628468145083968     ,  0.0000000000000000     )
 ( 0.67011091264730571     ,  0.0000000000000000     ) ( 0.45074840592539639     ,  0.0000000000000000     ) (  1.8905795967610697     ,  0.0000000000000000     )
 ( -3.1939183713280865     ,  0.0000000000000000     ) ( -3.1973873772559482     ,  0.0000000000000000     ) ( -2.7480906239573191     ,  0.0000000000000000     )
 ( -2.5405355428996881     ,  0.0000000000000000     ) (-0.72848387529474556     ,  0.0000000000000000     ) ( -2.6114258425988393     ,  0.0000000000000000     )
 ( 0.26886117018003930     ,  0.0000000000000000     ) ( -4.4413770933674979     ,  0.0000000000000000     ) ( -6.5550728359237240     ,  0.0000000000000000     )
 (  2.2078242438004003     ,  0.0000000000000000     ) (  1.0764937669768075     ,  0.0000000000000000     ) (-6.19782701439960948E-002,  0.0000000000000000     )
 ( -1.9925083386627476     ,  0.0000000000000000     ) ( -5.8183028043308607     ,  0.0000000000000000     ) ( -2.0917193157345761     ,  0.0000000000000000     )
 ( -2.9179959299616951     ,  0.0000000000000000     ) ( -1.2790006385078787     ,  0.0000000000000000     ) ( -2.6083911163315916     ,  0.0000000000000000     )
 (  8.2406863097423582     ,  0.0000000000000000     ) (  1.4991873798943713     ,  0.0000000000000000     ) ( -3.4188966727164529     ,  0.0000000000000000     )
 (  1.1017024744672370     ,  0.0000000000000000     ) (-0.65913941651017205     ,  0.0000000000000000     ) (  1.1775747723946781     ,  0.0000000000000000     )
 (  2.9795101957325127     ,  0.0000000000000000     ) (  6.9177950330699405     ,  0.0000000000000000     ) ( -2.3458091417486031     ,  0.0000000000000000     )
 ( -1.6183591844142091     ,  0.0000000000000000     ) (  6.4028442578182814     ,  0.0000000000000000     ) (  5.9512114809949797     ,  0.0000000000000000     )
 (  3.7103009827248319     ,  0.0000000000000000     ) (  3.8934934923552604     ,  0.0000000000000000     ) (  2.3398990637076942     ,  0.0000000000000000     )
 ( 0.89294145146284631     ,  0.0000000000000000     ) (-0.62982464566981733     ,  0.0000000000000000     ) ( 0.68574298262639677     ,  0.0000000000000000     )
 (  4.1655090698070758     ,  0.0000000000000000     ) (  2.7671515367595250     ,  0.0000000000000000     ) ( 0.63309478410114117     ,  0.0000000000000000     )
 (  1.3656361796727849     ,  0.0000000000000000     ) ( 0.98940874020369429     ,  0.0000000000000000     ) (  1.0110889602669133     ,  0.0000000000000000     )
 ( -1.4957555508099363     ,  0.0000000000000000     ) ( -2.2090405032254421     ,  0.0000000000000000     ) ( -2.8777329442382871     ,  0.0000000000000000     )
