 ( -4.6590519178234242     ,  0.0000000000000000     ) (-0.69872042822856395     ,  0.0000000000000000     ) ( -2.5599333502540298     ,  0.0000000000000000     )
 (-0.69878495580434152     ,  0.0000000000000000     ) ( -3.9705716943189531     ,  0.0000000000000000     ) (  2.5394177061566969     ,  0.0000000000000000     )
 ( -2.3317004243050623     ,  0.0000000000000000     ) (  2.5539435369374792     ,  0.0000000000000000     ) (  1.8444102548313004     ,  0.0000000000000000     )
 (-0.46662517010847526     ,  0.0000000000000000     ) (  1.7585565191258201     ,  0.0000000000000000     ) ( 0.85430142353330485     ,  0.0000000000000000     )
 ( 6.95826074263227595E-002,  0.0000000000000000     ) ( 0.65136721710915779     ,  0.0000000000000000     ) ( 0.97661062079574612     ,  0.0000000000000000     )
 ( -9.0548424238833878     ,  0.0000000000000000     ) ( 0.45705565932606318     ,  0.0000000000000000     ) ( -4.5518656813109244     ,  0.0000000000000000     )
 (  1.6900665387541025     ,  0.0000000000000000     ) (-7.33980217565457504E-002,  0.0000000000000000     ) ( 0.74170159549849579     ,  0.0000000000000000     )
 (  1.8698870974168149     ,  0.0000000000000000     ) (  6.8095909434619175     ,  0.0000000000000000     ) (  6.0378299157047817     ,  0.0000000000000000     )
 ( 0.54551511382450835     ,  0.0000000000000000     ) ( 0.88539299254625092     ,  0.0000000000000000     ) (-9.18185440168312050E-003,  0.0000000000000000     )
 ( -6.6085557283638350     ,  0.0000000000000000     ) ( -2.0736692140090667     ,  0.0000000000000000     ) ( 0.96253589720716559     ,  0.0000000000000000     )
 ( 0.57497436290785120     ,  0.0000000000000000     ) (-0.87262080049648583     ,  0.0000000000000000     ) (-0.13573591250429831     ,  0.0000000000000000     )
 (  3.6849201433509124     ,  0.0000000000000000     ) ( -1.8068520124535643     ,  0.0000000000000000     ) ( 0.26292420958196872     ,  0.0000000000000000     )
 ( -2.4958776231879747     ,  0.0000000000000000     ) (  3.1261544424569441     ,  0.0000000000000000     ) (  3.0435699708617299     ,  0.0000000000000000     )
 ( 0.74353365102364499     ,  0.0000000000000000     ) ( -2.6970885334212515     ,  0.0000000000000000     ) (-0.20165538265667515     ,  0.0000000000000000     )
 (  6.0461697571381769     ,  0.0000000000000000     ) (-1.70766043278509083E-002,  0.0000000000000000     ) ( 0.95252432497276773     ,  0.0000000000000000     )
 ( -1.4148346080749876     ,  0.0000000000000000     ) (-5.46614878244035679E-002,  0.0000000000000000     ) (  1.3015798681386517     ,  0.0000000000000000     )
 ( 0.40620084551898783     ,  0.0000000000000000     ) ( 0.24422906143173825     ,  0.0000000000000000     ) ( 4.12577822818408907E-002,  0.0000000000000000     )
 (  4.9317388012542320     ,  0.0000000000000000     ) (  5.5024509434836970     ,  0.0000000000000000     ) (  2.5348698229753492     ,  0.0000000000000000     )
 ( 8.76719341365388982E-002,  0.0000000000000000     ) ( 0.23073453351550294     ,  0.0000000000000000     ) (-0.77735673965314356     ,  0.0000000000000000     )
 (-0.74723448361229150     ,  0.0000000000000000     ) ( 0.64571992291805491     ,  0.0000000000000000     ) (  1.0999636881380415     ,  0.0000000000000000     )
