 ( -6.0267150978862043     ,  0.0000000000000000     )
 ( -25.740593261431869     ,  0.0000000000000000     )
 ( -4.2146369265213588     ,  0.0000000000000000     )
 ( -15.422359647019887     ,  0.0000000000000000     )
 ( -20.756023282405057     ,  0.0000000000000000     )
 (  1.2856831802270854     ,  0.0000000000000000     )
 (  1.9957608431125795     ,  0.0000000000000000     )
 ( -11.745948420410290     ,  0.0000000000000000     )
 ( -7.1678850304568460     ,  0.0000000000000000     )
 ( -18.223643058466102     ,  0.0000000000000000     )
 ( -13.774505026923960     ,  0.0000000000000000     )
 ( -18.297685990737001     ,  0.0000000000000000     )
 ( -4.9205194996882238     ,  0.0000000000000000     )
 ( -19.811388701199910     ,  0.0000000000000000     )
 ( -44.960902647990103     ,  0.0000000000000000     )
 ( -2.3122606718402605     ,  0.0000000000000000     )
 ( -10.187794000062025     ,  0.0000000000000000     )
 ( -7.7079078741575913     ,  0.0000000000000000     )
 ( -18.189753597426851     ,  0.0000000000000000     )
 ( -22.860524055559161     ,  0.0000000000000000     )
