 (  2.2215813562435018     ,  0.0000000000000000     )
 ( 8.79543386314971531E-002,  0.0000000000000000     )
 (-1.36319312956799665E-002,  0.0000000000000000     )
 (  2.4101053192506985     ,  0.0000000000000000     )
 (-0.96638764075768635     ,  0.0000000000000000     )
 (  8.1000396689287975     ,  0.0000000000000000     )
 ( -1.9543486806902051     ,  0.0000000000000000     )
 (  1.2116213209482616     ,  0.0000000000000000     )
 ( 5.26209630244662829E-002,  0.0000000000000000     )
 ( -3.5844173551967797     ,  0.0000000000000000     )
 ( -1.0120734183597855     ,  0.0000000000000000     )
 ( -6.0557060631885689     ,  0.0000000000000000     )
 (  3.2786275281653894     ,  0.0000000000000000     )
 ( -3.0081095433710932     ,  0.0000000000000000     )
 ( 0.54502037775428624     ,  0.0000000000000000     )
 (  1.0414521153864715     ,  0.0000000000000000     )
 ( 0.89836219558446628     ,  0.0000000000000000     )
 ( -6.2881532966215570     ,  0.0000000000000000     )
 (-0.86323282455076344     ,  0.0000000000000000     )
 (  3.3614459511356891     ,  0.0000000000000000     )
