 ( -2.0523796669161882     ,  0.0000000000000000     ) (  7.2732973511909957     ,  0.0000000000000000     ) (  15.058567192893753     ,  0.0000000000000000     )
 ( -31.845566778807246     ,  0.0000000000000000     ) ( -11.374635064330313     ,  0.0000000000000000     ) ( -4.5049235706075734     ,  0.0000000000000000     )
 ( -5.1617111707704311     ,  0.0000000000000000     ) (  5.2817115348603352     ,  0.0000000000000000     ) (-0.98133664592771463     ,  0.0000000000000000     )
 (-0.67579773205375360     ,  0.0000000000000000     ) (  11.950735642153228     ,  0.0000000000000000     ) (  12.589646186815326     ,  0.0000000000000000     )
 (  5.4486013592392943     ,  0.0000000000000000     ) ( -11.130165271303765     ,  0.0000000000000000     ) ( -21.460512124449622     ,  0.0000000000000000     )
 (  30.303982953736359     ,  0.0000000000000000     ) (  4.6896052482088226     ,  0.0000000000000000     ) (  2.9484638473840969     ,  0.0000000000000000     )
 ( -7.2357065534319442     ,  0.0000000000000000     ) (-0.45900314203711917     ,  0.0000000000000000     ) ( -3.7494523571068181     ,  0.0000000000000000     )
 (  6.6445431107236983     ,  0.0000000000000000     ) ( -7.1191467194477998     ,  0.0000000000000000     ) ( -15.313907592447945     ,  0.0000000000000000     )
 ( -5.2384112473212872     ,  0.0000000000000000     ) ( -11.211634829652512     ,  0.0000000000000000     ) (  5.0761500011657503     ,  0.0000000000000000     )
 ( 0.60277938009334298     ,  0.0000000000000000     ) (  3.2820586396258702     ,  0.0000000000000000     ) (-0.31483753876547366     ,  0.0000000000000000     )
 ( -24.055722798790516     ,  0.0000000000000000     ) ( -5.2183538362082631     ,  0.0000000000000000     ) (  5.1715961217464450     ,  0.0000000000000000     )
 (  11.347115067238542     ,  0.0000000000000000     ) (  3.0414948591720989     ,  0.0000000000000000     ) ( -5.9363610763480068     ,  0.0000000000000000     )
 ( -2.8141720978866807     ,  0.0000000000000000     ) (  10.001477455688732     ,  0.0000000000000000     ) ( 0.82575423620736677     ,  0.0000000000000000     )
 ( -5.1068134133561607     ,  0.0000000000000000     ) (  15.511928061224415     ,  0.0000000000000000     ) ( -11.732709758808792     ,  0.0000000000000000     )
 ( -41.611332405139954     ,  0.0000000000000000     ) ( -17.561383098556483     ,  0.0000000000000000     ) (  32.996797568514438     ,  0.0000000000000000     )
 ( -15.977394495167292     ,  0.0000000000000000     ) ( -2.4841566870712217     ,  0.0000000000000000     ) (  14.346508771668043     ,  0.0000000000000000     )
 ( -9.0684807267429743     ,  0.0000000000000000     ) ( -13.842317119076169     ,  0.0000000000000000     ) (  4.8025945773087448     ,  0.0000000000000000     )
 ( -6.4187666209156538     ,  0.0000000000000000     ) ( -14.247842728833618     ,  0.0000000000000000     ) ( -7.3390436571251474     ,  0.0000000000000000     )
 (  5.4330096665909142     ,  0.0000000000000000     ) (  5.5460652392404777     ,  0.0000000000000000     ) (-0.43281428890343865     ,  0.0000000000000000     )
 (  9.6955348850721865     ,  0.0000000000000000     ) (  7.6247617075310981     ,  0.0000000000000000     ) (  9.7490546627533856     ,  0.0000000000000000     )
