 ( -42.154219775907706     ,  0.0000000000000000     )
 ( -1.2363058027935265     ,  0.0000000000000000     )
 ( -33.242859188419978     ,  0.0000000000000000     )
 ( -16.542690057347386     ,  0.0000000000000000     )
 ( -27.869605678885595     ,  0.0000000000000000     )
 ( -32.317622562039105     ,  0.0000000000000000     )
 ( -9.4286789410387151     ,  0.0000000000000000     )
 ( -28.760446605088184     ,  0.0000000000000000     )
 ( -17.465717340398861     ,  0.0000000000000000     )
 ( -40.897293405263987     ,  0.0000000000000000     )
 ( -20.000505363231166     ,  0.0000000000000000     )
 ( -16.465208550008455     ,  0.0000000000000000     )
 ( -15.914755812827751     ,  0.0000000000000000     )
 ( -16.334655299472107     ,  0.0000000000000000     )
 (  1.7794733067748023     ,  0.0000000000000000     )
 ( -29.641866260433751     ,  0.0000000000000000     )
 ( -20.320525203531478     ,  0.0000000000000000     )
 (  1.3444327831357530     ,  0.0000000000000000     )
 ( -13.379495520913336     ,  0.0000000000000000     )
 ( -38.087033412997187     ,  0.0000000000000000     )
