 (-0.26121054004629440     ,  0.0000000000000000     ) (-0.33180079157858894     ,  0.0000000000000000     ) ( 0.88576732508776213     ,  0.0000000000000000     )
 (-2.53962753845163279E-002,  0.0000000000000000     ) (-3.25463749112729073E-002,  0.0000000000000000     ) ( 8.78434795968885823E-002,  0.0000000000000000     )
