 ( 7.93826034327825003E-002,-1.58916311251619828E-016) ( 0.94277474567382724     ,-3.80170337464173425E-017) ( 0.24645462361857937     ,-1.38172749067008718E-017)
 (  1.5320063967841691     , 1.20291792468790317E-018) (  2.4411301446204439     , 9.17332108738084760E-018) (-0.59879185725240136     ,-1.53094362587320547E-017)
 ( 0.41110287831571535     , 9.40893598721128612E-017) ( 0.42816782269461806     ,-6.05757152569851070E-017) ( 0.82817332305854352     , 1.80748284597696942E-017)
 ( 0.40853934459292895     , 1.14413596647613457E-017) (-0.13118360063271942     ,-9.99181268562989518E-018) ( 0.66318380191871684     ,-2.47705759825765593E-018)
 (-0.72448125788180007     , 4.51383246054524444E-018) ( 0.75621481467350693     , 5.34419683859612749E-019) ( 3.70591349733362385E-002, 1.18608619223393243E-018)
 ( 0.46753830907638572     ,-1.84638247479939852E-019) ( 0.99169914469268960     ,-7.45688470549481746E-018) ( -1.1297094957033453     ,-5.77843970792738153E-021)
 (-0.43774607439781477     ,-2.35103572011294585E-019) ( 0.64866363249290049     , 1.99182832640401204E-019) (-0.30381421374729156     ,-2.53794575060892069E-018)
 (-3.71547116181275283E-002,-3.94587000050348965E-017) (-0.41606747907889396     , 4.17944002392958342E-017) (-0.20156000676420138     ,-3.03035108603094521E-019)
 (-0.42622286395375941     ,-1.13879191256753819E-016) ( 0.31210992293141021     ,-5.39228668424496435E-017) (-0.12249566103367027     , 4.60948684922316494E-019)
 (  1.5484623365272687     ,-4.07997840623817885E-017) ( -1.8630877192116948     , 8.08016062367737659E-018) (  2.8185839540423707     ,-1.66693952461234540E-018)
 ( 0.29076703048713365     , 1.67220284462800792E-017) (-0.13974051690416239     , 1.51752079179693573E-017) ( 3.34805062506816908E-002, 6.58535727546170839E-020)
 ( 0.14343859678173609     ,-2.14672292812122778E-017) ( 0.11218463831869785     , 1.27317269510108000E-017) (-1.03441973073087109E-002, 4.95389275214885360E-018)
 (  1.2457748783623148     , 1.56487401644031712E-017) ( 0.19810996365705036     , 1.64307966064159678E-016) ( 0.18846897327126172     ,-4.00640554775473657E-018)
 ( 0.12915523181818031     , 1.01402922663819377E-016) ( 0.45900973324342575     , 5.06789460424331654E-018) ( 0.15181807901370120     ,-4.31230459249310286E-018)
 (  1.1292502940707219     , 3.83186096532919592E-018) (-2.38893662794160688E-002,-1.05655975324783178E-017) ( -1.0489072835152089     , 6.09334726468111534E-018)
 ( 0.16589953684517969     ,-2.95444760559168318E-017) ( 0.61542021545937009     ,-4.81673326967856805E-017) (-0.26111812309057292     , 1.34737146570071455E-017)
 ( 0.50634215801080296     ,-3.79940782202686912E-018) (-0.31433428481130304     , 1.42475083336308193E-017) (-0.22930521213179245     ,-1.65926395768385009E-019)
 ( 0.48904040760642742     , 1.21694235438613252E-017) ( 0.47037179273067692     , 2.64223425575352959E-018) (  2.0994163805382460     ,-2.83661474309905985E-017)
 (-0.17465375145369358     ,-2.13336429671723169E-018) ( 0.67663008928871671     , 9.85458181639165620E-017) (  1.6321371283129946     , 2.81150579465352615E-017)
 ( -1.0308667458278173     , 1.88723883483293453E-017) (-0.23081761123862155     , 7.24076722765124413E-018) (-0.29288817771728193     , 1.12321871033394316E-017)
