 (-0.81129869174298519     , 2.57944078322145251E-017)
 (  1.9947799036156899     ,-1.64084080391463246E-017)
 (  7.1489841381885073     , 7.03278942987082737E-017)
 ( -3.1811835809943472     , 2.15554940674571589E-018)
 ( -3.1945891400916553     ,-1.49960582315056790E-018)
 ( -7.5013845878214784     ,-3.31360544540024068E-018)
 ( -1.4499204809007811     ,-3.98959622726396313E-018)
 (  4.3171244118878693     , 3.62157793978435030E-017)
 (  7.7515906204001199     , 1.39180099131311358E-016)
 (  15.725200547883288     ,-3.26931343212177158E-018)
 ( 0.17427425177259354     ,-2.17349798676940617E-019)
 ( 0.81362682826782606     ,-1.85002617588803781E-017)
 (  4.1112411051645124     , 6.15979927486622907E-017)
 (-0.49566372711052176     ,-3.94357566363118470E-017)
 ( -7.0180031078241178     , 2.99820304566736430E-018)
 (-6.43328233363251421E-003, 3.90202923531803947E-017)
 ( 0.91026855889255565     , 1.07040383673650457E-017)
 ( -13.363195247358000     ,-4.75242182554959332E-018)
 (-0.41386856171603026     ,-5.56493297146686772E-017)
 ( -4.3582644704780797     ,-9.26485358709104462E-018)
