 ( -2.4367123570247369     ,-8.87801485951056504E-016) (  6.4127936090607545     , 5.64924987345567863E-016) ( -3.9375625326023851     ,-1.95441817390989550E-017)
 (  18.596024773838106     ,  0.0000000000000000     ) (  15.576530237971326     ,  0.0000000000000000     ) ( -22.773843860658062     ,  0.0000000000000000     )
 ( 0.78470637907649343     ,-1.07759960210776304E-015) ( -4.8923004029263986     ,-9.90081931569492961E-017) ( -3.2831420521579076     ,-9.32915718350654908E-017)
 (  4.4506844208267360     , 4.15693510606323955E-017) ( -4.8284947046795628     , 6.21477768436991111E-019) (-0.84077894401207076     , 1.51029255972896654E-016)
 ( -7.1925373058770949     ,-3.70790169832776193E-017) (  10.331623715938072     ,-2.64514924916185066E-017) ( -11.268525916520382     ,-3.43290186113398935E-018)
 (  2.4119849423028312     ,-2.47364743881704452E-019) (  7.3097836368183495     ,-4.52150187349591788E-018) ( -8.9234835274666171     , 5.38634570902521134E-017)
 ( -5.2550251774561909     ,-1.28027343370545367E-018) (  3.6026407502325091     ,-1.88356383159980635E-017) ( 8.60079554389163725E-002, 1.21960217362934850E-017)
 (-0.56905681434880917     , 6.12463876501283594E-017) ( -3.4474872405512071     ,-7.89666615461822163E-017) ( -6.1238093948834145     , 3.15931953229811172E-017)
 ( -3.9182729110734140     , 4.57864635157492099E-016) ( -5.0295246924873993     , 5.37983648146802884E-016) ( -11.946261157915895     , 1.33429473595218516E-016)
 (  10.344414829562091     , 3.86067061422309425E-016) ( -6.7278731409821795     ,-1.13962922595810676E-015) (  9.8281440715703710     ,-4.87628822954180959E-017)
 (-0.13626725808717510     , 6.42736477104516527E-016) ( -3.7582407407116150     ,-1.19660200117541280E-017) ( -1.7799693204934419     ,-6.04194843015632352E-017)
 (  1.4396867602329995     , 3.81736958504677789E-016) ( -1.3345028900842322     , 3.96758947405722597E-016) ( -3.2285352274329506     , 2.91714762882921900E-017)
 (  6.9984524964471815     , 2.60210381006732723E-016) (  3.3995973135511566     , 4.77907656148377675E-018) ( -8.5318707998025509     ,-2.60534547105365378E-017)
 ( -1.4884836197038163     , 1.26370334932735289E-015) (  6.9240045776123411     ,-1.27748006406217059E-016) (-0.43752630626430289     ,-5.57178528643596550E-017)
 (  9.4444456466701787     ,-9.89367124200540370E-018) ( -3.0356387992459837     , 1.14261354591115036E-016) ( -14.564744313935810     , 8.08625011008043909E-017)
 ( -2.2284994811885461     ,-7.77385860369981733E-016) (  5.4130960108575117     ,-8.78066667858266600E-016) ( -6.0302455647017652     ,-9.00913948936089880E-017)
 (  3.9247092013957774     , 1.66939716267328867E-016) ( -9.4335811327449868     ,-9.69610621427939044E-017) ( 0.45278567017362903     , 1.43707863689946176E-016)
 (  8.5089913911674202     , 7.37549856714265893E-017) (  7.8192532973065481     , 1.37251519684236309E-015) (  3.2285950187178898     , 2.58646970249072699E-017)
 (  2.9080900832218326     ,  0.0000000000000000     ) (  6.1425766612628472     ,  0.0000000000000000     ) (  2.0753610924706343     ,  0.0000000000000000     )
 ( -7.8013568054152653     , 5.94564923163296281E-016) (  8.4798426498907062     , 2.90345006415063658E-016) ( -10.982569729349926     , 4.64858582467750758E-017)
